"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"Dynamic Graph Enhanced Contrastive Learning for Chest X-Ray Report Generation","2","3","3","2","1","2","13","7","QP1,QP2,QP6,QS1,QS2,QS3,QS4"
"HGAN: Hierarchical Graph Alignment Network for Image-Text Retrieval","1","2","2","2","0","1","8","6","QP1,QP2,QP5,QP6,QS2,QS3"
"CLIP2Scene: Towards Label-efficient 3D Scene Understanding by CLIP","2","3","3","2","1","2","13","6","QP1,QP5,QP6,QS1,QS2,QS3"
"Knowledge Enhanced Vision and Language Model for Multi-Modal Fake News Detection","0","2","2","2","1","1","8","5","QP1,QP2,QP6,QS1,QS2"
"POP-VQA: Privacy preserving On-device Personalized Visual Question Answering","1","2","2","2","0","1","8","4","QP1,QP2,QP6,QP7"
"Language Guided Local Infiltration for Interactive Image Retrieval","0","2","2","1","0","1","6","3","QP1,QP5,QP6"
"FRAUD-Net: Fraud News Detection Using Sample Uncertainty and Domain Aware Generalized Network","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QS2"
"Injecting Linguistic Into Visual Backbone for Remote Sensing Visual Grounding","1","2","2","2","0","1","8","3","QP1,QP5,QP6"
"Do Vision and Language Encoders Represent the World Similarly?","0","3","3","2","1","2","11","6","QP1,QP2,QP6,QP7,QS1,QS2"
"Bilateral Knowledge Interaction Network for Referring Image Segmentation","0","2","2","2","1","1","8","5","QP1,QP5,QP6,QS1,QS2"
"GLoRIA: A Multimodal Global-Local Representation Learning Framework for Label-efficient Medical Image Recognition","2","3","3","2","1","2","13","8","QP1,QP5,QP6,QP7,QS1,QS2,QS3,QS4"
"Multi-Modal Representation Learning with Text-Driven Soft Masks","1","2","2","2","0","1","8","6","QP1,QP3,QP5,QP6,QP7,QS2"
"ViLTA: Enhancing Vision-Language Pre-training through Textual Augmentation","1","2","2","2","0","1","8","5","QP1,QP5,QP6,QP7,QS2"
"Task-Oriented Multi-Modal Mutual Learning for Vision-Language Models","2","3","3","2","0","2","12","6","QP1,QP5,QP6,QP7,QS2,QS3"
"Building Vision-Language Models on Solid Foundations with Masked Distillation","1","2","3","2","1","2","11","5","QP1,QP6,QP7,QS2,QS4"
"VILA: Learning Image Aesthetics from User Comments with Vision-Language Pretraining","0","2","2","2","1","1","8","5","QP1,QP6,QP7,QS1,QS2"
"Image-Text Pre-Training for Logo Recognition","1","1","2","1","0","1","6","4","QP1,QP5,QP6,QS2"
"CapsFusion: Rethinking Image-Text Data at Scale","0","2","3","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"Semantic Threads Enabling Image-Text Retrieval via VQA Transformers","0","2","2","2","0","1","7","4","QP1,QP3,QP7,QS4"
"Knowledge-Routed Visual Question Reasoning: Challenges for Deep Representation Embedding","0","2","2","2","0","1","7","3","QP1,QP2,QP6"
