"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"Constructing Phrase-level Semantic Labels for Multi-Grained Supervision","2","3","2","2","0","2","11","6","QP1,QP2,QP5,QP6,QP7,QS2"
"Decoupling Role of Data, Attention, and Losses in Multimodal Transformers","1","3","2","2","0","2","10","4","QP1,QP6,QP7,QS2"
"InterBERT: Vision-and-Language Interaction for Multi-modal Pretraining","1","2","2","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"UNITER: Universal Image-TExt Representation Learning","1","3","2","2","0","2","10","4","QP1,QP6,QP7,QS2"
"No Train, all Gain: Self-Supervised Gradients Improve Deep Frozen Representations","2","3","3","2","1","2","13","6","QP1,QP5,QP6,QP7,QS1,QS2"
"Analyzing Local Representations of Self-supervised Vision Transformers","1","2","2","2","0","1","8","4","QP1,QP6,QP7,QS2"
"RemoteCLIP: A VL Foundation Model for Remote Sensing","1","2","2","2","0","2","9","4","QP1,QP6,QP7,QS2"
"Retrieval-based Knowledge Augmented VLP","1","3","2","2","0","2","10","5","QP1,QP2,QP6,QP7,QS2"
"Lexi: Self-Supervised Learning of the UI Language","2","3","3","2","1","2","13","7","QP1,QP3,QP5,QP6,QP7,QS1,QS2"
"VL: Leveraging VLMs into Large-scale Product Retrieval","1","2","2","1","0","1","7","4","QP1,QP3,QP6,QS3"
"CLIP-Art: Contrastive Pre-training for Fine-Grained Art Classification","2","3","3","2","0","2","12","7","QP1,QP3,QP5,QP6,QP7,QS2,QS3"
"Visual Representation Learning with Self-Supervised Attention for Low-Label","2","3","3","2","1","2","13","8","QP1,QP3,QP5,QP6,QP7,QS1,QS2,QS3"
"Self-supervised Image-text Pre-training With Mixed Data In Chest X-rays","2","3","3","2","0","2","12","8","QP1,QP3,QP5,QP6,QP7,QS2,QS3,QS4"
