"Title","Cen_Desf","Fund_Teor","Clar_Res","Ilustr","Repos","Qualid","Total","QP_count","QPs"
"Neuron-Based Spiking Transmission and Reasoning for Image-Text Retrieval","1","2","2","1","0","1","7","4","QP1,QP6,QP7,QS2"
"Domain Adaptive 3D Shape Retrieval from Monocular Images","1","2","2","1","0","1","7","4","QP1,QP3,QP6,QS2"
"Zero-Shot Composed Image Retrieval with Masked Image-Text Pairs","2","2","2","2","0","1","9","5","QP1,QP5,QP6,QS2,QS3"
"Globetrotter: Connecting Languages by Connecting Images","1","2","2","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"Recognizing Unknown Disaster Scenes With KG-Based Zero-Shot Learning","2","2","2","2","0","1","9","5","QP1,QP2,QP5,QP6,QS3"
"Multimodal Models for Comprehensive Cardiac Diagnostics via ECG","1","2","2","1","0","1","7","4","QP1,QP2,QP6,QP7"
"Substation Equipment Fault Diagnosis Based On Multimodal Large Model","1","1","2","1","0","1","6","4","QP1,QP6,QP7,QS3"
"Language Guided Local Infiltration for Interactive Image Retrieval","1","2","2","1","0","1","7","3","QP1,QP5,QP6"
"CLIP for All Things Zero-Shot Sketch-Based Image Retrieval","2","2","3","2","1","2","12","6","QP1,QP6,QP7,QS1,QS2,QS3"
"HGAN: Hierarchical Graph Alignment Network for Image-Text Retrieval","1","2","2","2","0","1","8","5","QP1,QP2,QP5,QP6,QS2"
"Feature First: Advancing Image-Text Retrieval Through Improved Visual Features","1","2","3","2","1","2","11","6","QP1,QP2,QP5,QP6,QS1,QS2"
"Text-to-Image Diffusion Models are Great Sketch-Photo Matchmakers","2","2","2","2","1","2","11","5","QP1,QP5,QP6,QP7,QS1,QS3"
"A Lightweight Multi-View Knowledge Distillation for Text-Image Retrieval","1","2","2","1","0","1","7","4","QP1,QP6,QP7,QS2"
"Unsupervised Hierarchical Dynamic Similarity Hashing for Multimedia Retrieval","1","2","2","1","1","1","8","4","QP1,QP2,QP6,QS1"
"When CLIP Meets PHOC: Dual-Branch for Historical Document Image Retrieval","1","1","2","1","0","1","6","3","QP1,QP6,QP7"
"Learning Aligned Image-Text Representations Using Graph Attentive Relational Network","1","2","2","2","0","1","8","5","QP1,QP2,QP5,QP6,QS2"
"CLIP goes 3D: Leveraging Prompt Tuning for Language Grounded 3D Recognition","2","2","3","2","1","2","12","7","QP1,QP5,QP6,QP7,QS1,QS2,QS3"
"Dynamic Graph Enhanced Contrastive Learning for CXR Report Generation","2","3","3","2","1","2","13","9","QP1,QP2,QP5,QP6,QP7,QS1,QS2,QS3,QS4"
"Do Vision and Language Encoders Represent the World Similarly?","1","2","2","2","1","2","10","6","QP1,QP2,QP6,QP7,QS1,QS2"
"DeVLBert: Out-of-distribution Visio-Linguistic Pretraining with Causality","2","2","2","2","1","2","11","5","QP1,QP5,QP6,QP7,QS1"
"Quaternion Relation Embedding for Scene Graph Generation","1","3","2","2","0","1","9","6","QP1,QP2,QP6,QP7,QS2,QS3"
"News Image-Text Matching With News Knowledge Graph","1","2","2","1","0","1","7","3","QP1,QP2,QP6"
"Building VLMs on Solid Foundations with Masked Distillation","1","2","2","1","0","1","7","4","QP1,QP3,QP6,QP7"
"Multi-Modal Validation and Domain Interaction Learning for KB-VQA","1","2","2","2","0","1","8","5","QP1,QP2,QP5,QP6,QS2"
"Image Question-Distractors Generation as Conversational Model","1","2","2","1","0","1","7","4","QP1,QP6,QP7,QS3"
"Top-Down Visual Attention from Analysis by Synthesis","1","3","2","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS2"
"Visual Global-Salient-Guided Network for RS Image-Text Retrieval","1","2","2","2","0","1","8","4","QP1,QP5,QP6,QP7,QS2"
"DialCLIP: Empowering CLIP As Multi-Modal Dialog Retriever","1","2","2","1","0","1","7","3","QP1,QP6,QP7"
"Semantic Image Retrieval Using Scene Graphs and Natural Language Queries","1","2","2","1","0","1","7","4","QP1,QP2,QP6,QS2"
"Contrastive Feature Masking Open-Vocabulary Vision Transformer","2","2","3","2","0","2","11","6","QP1,QP5,QP6,QP7,QS2,QS3"
"ViTamin: Designing Scalable Vision Models in the VL Era","1","3","3","2","1","2","12","5","QP1,QP6,QP7,QS1,QS2"
"ConceptHash: Interpretable Fine-Grained Hashing via Concept Discovery","1","2","2","2","1","1","9","4","QP1,QP5,QP6,QS1"
"A Large VLM based Environment Perception System for Visually Impaired People","1","2","2","1","0","1","7","4","QP1,QP6,QP7,QS2"
"Automatic Teaching Platform on VL Retrieval Augmented Generation","1","1","2","1","0","1","6","3","QP1,QP6,QP7"
"QueryAdapter: Rapid Adaptation of VLMs in Response to Natural Language Queries","1","2","2","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"DynamicGSG: Dynamic 3D Gaussian Scene Graphs for Environment Adaptation","1","2","3","2","1","2","11","6","QP1,QP2,QP6,QP7,QS1,QS2"
"Cross-Modal Safety Mechanism Transfer in Large VLMs","2","2","2","2","1","2","11","5","QP1,QP5,QP6,QP7,QS1,QS2"
"Alleviating Hallucination in Large VLMs with Active Retrieval Augmentation","2","2","2","1","0","1","8","4","QP1,QP4,QP6,QP7,QS2"
"HELPER-X: Unified Instructable Embodied Agent","1","2","2","2","1","2","10","5","QP1,QP6,QP7,QS1,QS2"
"LLaVA-Plus: Learning to Use Tools for Creating Multimodal Agents","1","3","3","2","1","2","12","6","QP1,QP5,QP6,QP7,QS1,QS2"
"ProbVLM: Probabilistic Adapter for Frozen VLMs","2","3","3","2","1","2","13","6","QP1,QP4,QP5,QP6,QP7,QS1"
"Group Generalized Mean Pooling for Vision Transformer","1","2","2","2","0","1","8","5","QP1,QP5,QP6,QP7,QS2"
"Retrieval Augmentation for Deep Neural Networks","1","3","3","2","1","2","12","6","QP1,QP5,QP6,QP7,QS1,QS2"
"S-CLIP: Semi-supervised VL Learning using Few Specialist Captions","2","3","3","2","1","2","13","6","QP1,QP3,QP6,QP7,QS1,QS3"
"The Dialog Must Go On: Improving Visual Dialog via Generative Self-Training","1","2","2","1","0","1","7","3","QP1,QP3,QP6"
"CIBR: Cross-modal Information Bottleneck Regularization for CLIP Generalization","1","2","2","1","1","1","8","4","QP1,QP6,QP7,QS2"
"LRSCLIP: VL Foundation Model for RS Image with Longer Text","2","2","2","2","1","2","11","5","QP1,QP5,QP6,QP7,QS2"
"Anatomy-Aware Conditional Image-Text Retrieval","2","2","2","2","1","2","11","6","QP1,QP5,QP6,QP7,QS1,QS4"
"Recurrence-Enhanced VL Transformers for Robust Multimodal Document Retrieval","1","2","2","2","1","2","10","6","QP1,QP5,QP6,QP7,QS1,QS2"
"MedUnifier: Unifying VLP on Medical Data with Vision Generation","1","2","2","2","0","1","8","4","QP1,QP6,QP7,QS4"
"Pathology Report Generation for Cutaneous Melanocytic Lesions","2","2","2","1","0","1","8","4","QP1,QP6,QP7,QS4"
"UniGS: Unified Language-Image-3D Pretraining with Gaussian Splatting","0","2","2","2","0","1","7","3","QP1,QP6,QP7"
"Boosting Weak Positives for Text Based Person Search","1","2","2","1","0","1","7","3","QP1,QP6,QP7"
"Low-rank Prompt Interaction for Continual VL Retrieval","1","2","2","1","0","1","7","3","QP1,QP6,QP7"
"Rebalanced VL Retrieval with Structure-Aware Distillation","1","2","2","2","1","2","10","6","QP1,QP2,QP5,QP6,QP7,QS2"
"Embedding and Enriching Explicit Semantics for VI Person Re-ID","0","2","2","1","0","1","6","3","QP1,QP6,QP7"
"CLIP-PING: Boosting Lightweight VLMs with Proximus Intrinsic Neighbors","2","2","2","2","1","2","11","6","QP1,QP6,QP7,QS2,QS3,QS4"
"COSMOS: Cross-Modality Self-Distillation for VLP","1","2","2","2","1","2","10","5","QP1,QP5,QP6,QP7,QS2"
"Multimodal Whole Slide Foundation Model for Pathology","2","3","3","2","1","2","13","8","QP1,QP3,QP6,QP7,QS1,QS2,QS3,QS4"
"FLEX-CLIP: Feature-Level Generation Network Enhanced CLIP for X-shot Retrieval","2","2","2","1","1","1","9","5","QP1,QP6,QP7,QS2,QS3"
"CLIPS: Enhanced CLIP Framework for Learning with Synthetic Captions","1","2","2","1","1","1","8","4","QP1,QP6,QP7,QS2"
"Uni-Mlip: Unified Self-supervision for Medical VLP","2","2","2","2","1","2","11","5","QP1,QP6,QP7,QS2,QS4"
"NEVLP: Noise-Robust Framework for Efficient VLP","2","2","2","1","1","1","9","5","QP1,QP6,QP7,QS2,QS3"
"Efficient and Versatile Robust Fine-Tuning of Zero-shot Models","1","2","2","1","1","1","8","4","QP1,QP6,QP7,QS2"
"Multi-modal Relation Distillation for Unified 3D Representation","0","2","2","1","1","1","7","4","QP1,QP6,QP7,QS2"
"Elevating All Zero-Shot Sketch-Based Image Retrieval Through Multimodal Prompt","1","2","2","1","1","1","8","4","QP1,QP6,QP7,QS2"
"Distilling Vision-Language Pretraining for Efficient Cross-Modal Retrieval","1","2","2","2","1","2","10","5","QP1,QP5,QP6,QP7,QS2"
"Bridging Vision and Language Spaces with Assignment Prediction","0","2","2","1","1","1","7","4","QP1,QP6,QP7,QS2"
"Cross-Modal Coordination Across a Diverse Set of Input Modalities","1","2","2","2","1","2","10","6","QP1,QP5,QP6,QP7,QS2,QS3"
"Enhancing Image Retrieval: Comprehensive Study on Photo Search using CLIP","1","2","2","2","0","1","8","6","QP1,QP5,QP6,QP7,QS3,QS4"
